hotel_id,forecast_date,lead_time,booking_pickup_7d,rolling_demand_14d,cancellation_rate_28d,available_inventory,event_intensity,lag_occupancy_7d,lag_occupancy_28d,occupancy_rate
HOTEL-012,2023-01-09,62,24.005,0.591,0.1679,20,0.331,0.5483,0.5317,0.5299
HOTEL-010,2023-01-10,10,28.825,0.6421,0.1353,11,0.1114,0.6978,0.5069,0.6526
HOTEL-001,2023-01-10,27,33.634,0.7245,0.2113,40,0.1027,0.65,0.5608,0.6182
HOTEL-004,2023-01-10,73,25.512,0.5499,0.1196,25,0.1128,0.5093,0.7251,0.595
HOTEL-011,2023-01-11,8,37.316,0.6294,0.1732,26,0.1142,0.5507,0.6233,0.6686
HOTEL-005,2023-01-11,38,26.074,0.5851,0.1757,31,0.1171,0.6543,0.6224,0.6155
HOTEL-002,2023-01-11,68,29.415,0.5448,0.2075,23,0.051,0.6101,0.561,0.5062
HOTEL-003,2023-01-12,27,27.279,0.6075,0.1185,13,0.0416,0.7913,0.6124,0.6147
HOTEL-012,2023-01-12,58,19.969,0.5969,0.1091,27,0.0784,0.5245,0.6527,0.5711
HOTEL-006,2023-01-12,59,28.798,0.623,0.1899,40,0.1339,0.6778,0.6411,0.5913
HOTEL-004,2023-01-13,31,25.433,0.7003,0.1908,19,0.0384,0.6074,0.5226,0.5889
HOTEL-007,2023-01-13,45,41.871,0.7488,0.1525,26,0.0657,0.5687,0.6831,0.7501
HOTEL-001,2023-01-13,48,31.43,0.6233,0.1322,28,0.4577,0.658,0.5678,0.6561
HOTEL-008,2023-01-14,36,35.082,0.7655,0.1441,23,0.1952,0.7412,0.6985,0.798
HOTEL-005,2023-01-14,72,24.587,0.685,0.1378,31,0.1935,0.7649,0.6061,0.6569
HOTEL-002,2023-01-14,42,30.942,0.7301,0.1838,8,0.3237,0.7043,0.7247,0.7504
HOTEL-003,2023-01-15,86,22.4,0.693,0.1788,24,0.1336,0.7851,0.6437,0.6721
HOTEL-009,2023-01-15,32,27.597,0.6831,0.1371,7,0.3972,0.7771,0.6627,0.7729
HOTEL-006,2023-01-15,2,38.915,0.6819,0.133,37,0.2769,0.6825,0.6203,0.7441
HOTEL-007,2023-01-16,82,26.334,0.5724,0.1775,35,0.0139,0.6022,0.6659,0.5664
HOTEL-004,2023-01-16,28,38.437,0.648,0.1252,25,0.2,0.6655,0.701,0.7271
HOTEL-010,2023-01-16,9,23.997,0.6122,0.0847,13,0.2387,0.6451,0.5632,0.6392
HOTEL-011,2023-01-17,62,23.453,0.6585,0.1616,22,0.0777,0.7124,0.6807,0.6662
HOTEL-008,2023-01-17,89,22.355,0.6318,0.1879,18,0.2261,0.5314,0.713,0.5683
HOTEL-005,2023-01-17,6,33.118,0.7525,0.0855,21,0.3561,0.6302,0.6016,0.7159
HOTEL-006,2023-01-18,74,17.736,0.4894,0.1701,18,0.1634,0.6538,0.6652,0.5135
HOTEL-012,2023-01-18,79,13.791,0.6062,0.2102,27,0.1865,0.6646,0.6118,0.5318
HOTEL-009,2023-01-18,81,39.891,0.8508,0.2284,8,0.2234,0.5299,0.5338,0.7229
HOTEL-007,2023-01-19,39,33.755,0.62,0.1824,33,0.2439,0.6876,0.5995,0.6297
HOTEL-001,2023-01-19,40,29.627,0.6463,0.1735,27,0.0131,0.7132,0.5357,0.5657
HOTEL-010,2023-01-19,37,25.359,0.6073,0.1721,25,0.1085,0.7158,0.5703,0.6121
HOTEL-002,2023-01-20,17,28.072,0.5853,0.1621,26,0.0759,0.5482,0.7243,0.6048
HOTEL-008,2023-01-20,11,43.336,0.6452,0.2158,16,0.0871,0.5637,0.6359,0.6604
HOTEL-011,2023-01-20,89,30.172,0.7086,0.134,24,0.3099,0.5256,0.6236,0.596
HOTEL-012,2023-01-21,17,34.488,0.7628,0.1077,14,0.1197,0.7751,0.5875,0.7872
HOTEL-009,2023-01-21,25,28.009,0.6939,0.1003,15,0.0283,0.6701,0.5036,0.6928
HOTEL-003,2023-01-21,85,28.306,0.7628,0.2105,32,0.1179,0.6954,0.7082,0.7096
HOTEL-010,2023-01-22,74,29.196,0.9085,0.1308,17,0.0078,0.6366,0.7446,0.8259
HOTEL-001,2023-01-22,63,34.271,0.7105,0.1698,22,0.1851,0.595,0.6939,0.7444
HOTEL-004,2023-01-22,22,25.988,0.8088,0.1521,12,0.0695,0.6921,0.6512,0.7387
HOTEL-011,2023-01-23,14,31.943,0.6145,0.1205,20,0.049,0.6455,0.5538,0.6397
HOTEL-005,2023-01-23,69,23.446,0.6243,0.156,29,0.0439,0.5009,0.6882,0.5434
HOTEL-002,2023-01-23,45,26.575,0.6906,0.136,20,0.1382,0.6885,0.7107,0.6458
HOTEL-012,2023-01-24,25,46.855,0.6816,0.1341,32,0.313,0.6582,0.5949,0.7267
HOTEL-006,2023-01-24,39,21.551,0.5158,0.169,52,0.0206,0.7325,0.7261,0.5604
HOTEL-003,2023-01-24,12,41.063,0.6368,0.1946,25,0.0832,0.6542,0.5481,0.6247
HOTEL-001,2023-01-25,8,31.784,0.5159,0.1581,19,0.08,0.6811,0.6688,0.5978
HOTEL-007,2023-01-25,15,34.697,0.781,0.118,3,0.4172,0.596,0.6771,0.776
HOTEL-004,2023-01-25,42,31.183,0.7427,0.1151,23,0.0421,0.6757,0.6218,0.6566
HOTEL-008,2023-01-26,74,36.473,0.5801,0.1564,15,0.2588,0.6691,0.7188,0.6614
HOTEL-005,2023-01-26,40,28.083,0.638,0.1287,27,0.0596,0.6404,0.6059,0.6013
HOTEL-002,2023-01-26,75,29.093,0.76,0.0827,18,0.2512,0.6417,0.6511,0.7074
HOTEL-006,2023-01-27,0,40.873,0.762,0.1247,23,0.1803,0.7247,0.5375,0.7243
HOTEL-003,2023-01-27,30,28.447,0.6413,0.1041,33,0.1184,0.7329,0.624,0.6528
HOTEL-009,2023-01-27,34,42.673,0.6424,0.228,12,0.1963,0.775,0.588,0.7095
HOTEL-004,2023-01-28,33,31.915,0.7364,0.1454,24,0.4157,0.7707,0.6953,0.7546
HOTEL-010,2023-01-28,24,24.346,0.7741,0.1361,26,0.1318,0.7386,0.7129,0.7556
HOTEL-007,2023-01-28,79,25.486,0.6969,0.2161,14,0.0825,0.7842,0.5035,0.6676
HOTEL-008,2023-01-29,60,31.149,0.8014,0.1166,14,0.4081,0.6069,0.7188,0.7593
HOTEL-005,2023-01-29,57,22.846,0.6377,0.1576,17,0.303,0.8831,0.6913,0.7648
HOTEL-011,2023-01-29,74,32.414,0.7798,0.1556,23,0.1286,0.6332,0.6881,0.7387
HOTEL-012,2023-01-30,32,36.149,0.6514,0.1749,27,0.0685,0.6025,0.5694,0.6167
HOTEL-009,2023-01-30,14,28.952,0.6212,0.1267,19,0.0077,0.5449,0.6527,0.5327
HOTEL-006,2023-01-30,8,41.183,0.7011,0.166,0,0.4003,0.5719,0.6089,0.7524
HOTEL-010,2023-01-31,86,25.468,0.6437,0.199,9,0.5646,0.6352,0.6259,0.6882
HOTEL-007,2023-01-31,12,40.105,0.7555,0.1413,14,0.1116,0.7183,0.5561,0.7589
HOTEL-001,2023-01-31,47,40.087,0.7581,0.122,10,0.0852,0.6393,0.7743,0.7369
HOTEL-008,2023-02-01,83,34.333,0.6654,0.1915,11,0.3332,0.6037,0.6439,0.6681
HOTEL-011,2023-02-01,88,30.581,0.6706,0.1552,26,0.1236,0.6972,0.5603,0.6406
HOTEL-002,2023-02-01,1,25.909,0.6801,0.1235,25,0.1113,0.7219,0.6287,0.6605
HOTEL-009,2023-02-02,55,39.062,0.7571,0.188,33,0.5258,0.6754,0.7343,0.7374
HOTEL-012,2023-02-02,70,24.871,0.5383,0.2106,25,0.0166,0.6716,0.5156,0.5113
HOTEL-003,2023-02-02,11,32.195,0.6899,0.1611,28,0.112,0.8417,0.491,0.7194
HOTEL-010,2023-02-03,43,21.081,0.5599,0.0941,30,0.0124,0.781,0.5601,0.5882
HOTEL-001,2023-02-03,24,29.593,0.6397,0.143,18,0.1865,0.6809,0.5729,0.6575
HOTEL-004,2023-02-03,76,27.626,0.7216,0.2149,21,0.0176,0.667,0.6293,0.5888
HOTEL-002,2023-02-04,0,41.705,0.7451,0.1129,23,0.3166,0.8347,0.6214,0.8342
HOTEL-005,2023-02-04,61,27.977,0.7854,0.1736,13,0.4316,0.8283,0.6942,0.8342
HOTEL-011,2023-02-04,61,37.338,0.7902,0.1893,17,0.5256,0.7847,0.7001,0.8168
HOTEL-003,2023-02-05,86,29.467,0.6918,0.1871,9,0.2474,0.7604,0.7025,0.7541
HOTEL-006,2023-02-05,80,21.41,0.5885,0.1987,29,0.1125,0.8619,0.6925,0.6452
HOTEL-012,2023-02-05,25,21.287,0.7332,0.1665,9,0.1179,0.7913,0.6437,0.6976
HOTEL-001,2023-02-06,10,31.751,0.6467,0.1744,17,0.0025,0.7685,0.741,0.6637
HOTEL-004,2023-02-06,29,24.024,0.5985,0.1602,43,0.0456,0.6879,0.6653,0.5677
HOTEL-007,2023-02-06,14,30.326,0.7386,0.1501,13,0.0962,0.5913,0.7053,0.6711
HOTEL-005,2023-02-07,12,34.388,0.702,0.1611,40,0.0326,0.7513,0.638,0.6207
HOTEL-008,2023-02-07,53,35.251,0.7159,0.1057,19,0.2494,0.782,0.7268,0.7321
HOTEL-002,2023-02-07,69,29.499,0.6842,0.1319,21,0.0372,0.8206,0.58,0.6206
HOTEL-009,2023-02-08,59,35.546,0.644,0.1356,11,0.4683,0.6382,0.597,0.6509
HOTEL-003,2023-02-08,53,41.273,0.717,0.1698,14,0.3937,0.7188,0.6532,0.7156
HOTEL-006,2023-02-08,5,26.498,0.6108,0.0945,36,0.0358,0.7877,0.617,0.6187
HOTEL-004,2023-02-09,41,35.856,0.8184,0.2214,16,0.2565,0.6757,0.6871,0.773
HOTEL-007,2023-02-09,75,29.94,0.6448,0.1804,19,0.3327,0.6627,0.631,0.6591
HOTEL-010,2023-02-09,50,27.388,0.6748,0.1902,21,0.2336,0.6919,0.7568,0.6419
HOTEL-008,2023-02-10,21,27.996,0.7973,0.1325,24,0.0858,0.6242,0.6533,0.6752
HOTEL-005,2023-02-10,13,28.614,0.5877,0.113,40,0.0817,0.5606,0.5434,0.59
HOTEL-011,2023-02-10,33,41.527,0.7223,0.2025,34,0.1542,0.7066,0.589,0.6918
HOTEL-006,2023-02-11,36,24.648,0.7239,0.1824,20,0.0834,0.7742,0.7065,0.7865
HOTEL-012,2023-02-11,42,28.637,0.6518,0.1316,22,0.1511,0.8249,0.6553,0.7229
HOTEL-009,2023-02-11,87,44.002,0.8521,0.1868,12,0.1475,0.6754,0.6518,0.8243
HOTEL-007,2023-02-12,76,34.751,0.7923,0.1434,25,0.2126,0.7473,0.6241,0.7795
HOTEL-001,2023-02-12,38,47.541,0.8568,0.193,0,0.4239,0.716,0.6503,0.9089
HOTEL-010,2023-02-12,44,53.368,0.8524,0.1692,17,0.6976,0.826,0.5743,0.9419
HOTEL-002,2023-02-13,63,27.433,0.6991,0.2436,6,0.2217,0.7755,0.7262,0.6903
HOTEL-011,2023-02-13,82,27.452,0.5588,0.1697,27,0.4591,0.6892,0.6829,0.6606
HOTEL-008,2023-02-13,45,35.154,0.5396,0.0992,33,0.1652,0.5459,0.6523,0.5718
HOTEL-009,2023-02-14,40,27.028,0.5585,0.1376,26,0.039,0.6491,0.7018,0.6077
HOTEL-012,2023-02-14,26,41.364,0.7322,0.1834,1,0.2954,0.8057,0.5812,0.7602
HOTEL-003,2023-02-14,80,33.949,0.6679,0.2506,12,0.2361,0.7804,0.678,0.687
HOTEL-001,2023-02-15,12,25.872,0.6793,0.1156,22,0.037,0.7594,0.6842,0.6688
HOTEL-004,2023-02-15,51,40.118,0.8086,0.1304,7,0.5059,0.8019,0.6372,0.8187
HOTEL-010,2023-02-15,69,27.458,0.6337,0.2151,32,0.3052,0.8257,0.6171,0.6301
HOTEL-002,2023-02-16,70,33.466,0.7276,0.1734,8,0.2745,0.6668,0.5901,0.7483
HOTEL-005,2023-02-16,69,21.618,0.6576,0.1308,14,0.1344,0.7468,0.7543,0.6626
HOTEL-011,2023-02-16,82,34.773,0.7377,0.1226,12,0.3922,0.6215,0.6499,0.7503
HOTEL-006,2023-02-17,42,32.52,0.6945,0.1475,15,0.1533,0.6654,0.6339,0.6971
HOTEL-012,2023-02-17,13,32.277,0.6511,0.1235,15,0.0066,0.718,0.6675,0.6922
HOTEL-003,2023-02-17,25,47.642,0.8483,0.116,12,0.2177,0.7844,0.6121,0.8752
HOTEL-001,2023-02-18,62,23.264,0.721,0.1273,11,0.242,0.7626,0.6612,0.7383
HOTEL-007,2023-02-18,86,28.374,0.6483,0.1843,34,0.0325,0.6569,0.5845,0.6584
HOTEL-004,2023-02-18,60,25.623,0.7622,0.2057,23,0.0667,0.8577,0.6503,0.7282
HOTEL-002,2023-02-19,76,31.681,0.7364,0.1924,6,0.3119,0.8301,0.6714,0.7885
HOTEL-008,2023-02-19,9,44.57,0.8835,0.0591,10,0.4201,0.8847,0.6191,0.9364
HOTEL-005,2023-02-19,85,27.672,0.8507,0.1896,7,0.2903,0.7627,0.7753,0.8636
HOTEL-003,2023-02-20,72,22.364,0.7188,0.0861,16,0.211,0.8021,0.6671,0.6668
HOTEL-006,2023-02-20,13,39.331,0.6396,0.1043,23,0.0562,0.6221,0.6352,0.6548
HOTEL-009,2023-02-20,44,39.509,0.6311,0.111,35,0.1617,0.8295,0.6899,0.7191
HOTEL-007,2023-02-21,38,24.919,0.6932,0.1223,6,0.2297,0.7973,0.6831,0.6936
HOTEL-010,2023-02-21,28,38.062,0.6768,0.1936,22,0.1225,0.706,0.6172,0.6144
HOTEL-004,2023-02-21,55,42.468,0.6317,0.1672,7,0.4372,0.7224,0.7803,0.7222
HOTEL-011,2023-02-22,78,37.487,0.6754,0.15,18,0.1103,0.6622,0.6844,0.6219
HOTEL-005,2023-02-22,29,29.738,0.7734,0.1183,22,0.0935,0.7461,0.6502,0.731
HOTEL-008,2023-02-22,33,43.6,0.7125,0.1792,33,0.4661,0.6741,0.6641,0.6927
HOTEL-006,2023-02-23,88,20.269,0.7286,0.1534,24,0.2125,0.7249,0.6007,0.6454
HOTEL-009,2023-02-23,88,26.785,0.7601,0.1672,16,0.0973,0.8325,0.7487,0.6742
HOTEL-012,2023-02-23,38,32.389,0.7838,0.1391,17,0.377,0.7517,0.6832,0.7509
HOTEL-001,2023-02-24,9,28.787,0.7265,0.12,20,0.0109,0.6185,0.6934,0.6617
HOTEL-010,2023-02-24,81,32.144,0.7942,0.132,15,0.4636,0.6569,0.5771,0.7437
HOTEL-007,2023-02-24,85,33.518,0.6527,0.1651,14,0.1271,0.6578,0.7156,0.6014
HOTEL-008,2023-02-25,46,40.663,0.7946,0.1132,17,0.4935,0.7537,0.6714,0.8142
HOTEL-011,2023-02-25,36,24.912,0.6874,0.1331,14,0.2701,0.6581,0.7823,0.7305
HOTEL-002,2023-02-25,43,40.584,0.7921,0.1837,15,0.1046,0.8108,0.7216,0.8412
HOTEL-009,2023-02-26,16,48.003,0.7935,0.1175,15,0.2232,0.678,0.5859,0.8759
HOTEL-012,2023-02-26,47,29.325,0.8338,0.113,19,0.1052,0.769,0.7629,0.8081
HOTEL-003,2023-02-26,80,22.949,0.7119,0.1985,18,0.0209,0.6817,0.6134,0.6456
HOTEL-010,2023-02-27,89,24.176,0.6632,0.1231,15,0.0501,0.725,0.7636,0.6407
HOTEL-001,2023-02-27,42,27.993,0.6519,0.155,13,0.0933,0.6203,0.6591,0.6035
HOTEL-004,2023-02-27,61,27.705,0.7203,0.1852,21,0.4293,0.6912,0.6706,0.7537
HOTEL-002,2023-02-28,25,37.061,0.8858,0.1786,8,0.2621,0.6624,0.703,0.7281
HOTEL-005,2023-02-28,54,26.369,0.6588,0.1589,23,0.2202,0.848,0.7508,0.6875
HOTEL-011,2023-02-28,27,27.749,0.7343,0.1139,24,0.3328,0.5068,0.739,0.6834
HOTEL-012,2023-03-01,47,35.424,0.8222,0.1347,8,0.5152,0.7784,0.7305,0.8426
HOTEL-006,2023-03-01,9,40.818,0.6988,0.2107,14,0.2629,0.6703,0.5344,0.7095
HOTEL-003,2023-03-01,9,45.272,0.7734,0.1293,18,0.4197,0.7486,0.6876,0.8338
HOTEL-004,2023-03-02,17,51.651,0.7513,0.1126,13,0.0681,0.6651,0.5768,0.8226
HOTEL-001,2023-03-02,84,16.26,0.674,0.1514,10,0.4777,0.7902,0.5589,0.638
HOTEL-007,2023-03-02,33,38.57,0.67,0.0246,23,0.388,0.6789,0.7881,0.7669
HOTEL-002,2023-03-03,38,33.485,0.6341,0.1147,21,0.1734,0.7105,0.758,0.7006
HOTEL-005,2023-03-03,88,22.416,0.7551,0.181,16,0.2824,0.7821,0.744,0.7045
HOTEL-008,2023-03-03,85,25.145,0.5905,0.137,5,0.3219,0.6782,0.671,0.5944
HOTEL-003,2023-03-04,9,33.312,0.8416,0.114,13,0.2755,0.6888,0.6022,0.8444
HOTEL-009,2023-03-04,36,34.169,0.6936,0.1907,16,0.1585,0.6711,0.647,0.7138
HOTEL-006,2023-03-04,14,43.555,0.9026,0.1375,13,0.0145,0.7594,0.6773,0.8208
HOTEL-004,2023-03-05,45,31.462,0.6878,0.1123,22,0.0066,0.8096,0.743,0.7555
HOTEL-010,2023-03-05,17,33.648,0.744,0.0601,7,0.1857,0.8286,0.7261,0.8314
HOTEL-007,2023-03-05,7,29.7,0.9106,0.1854,1,0.3258,0.8722,0.753,0.8515
HOTEL-005,2023-03-06,73,23.7,0.773,0.2127,3,0.1499,0.5883,0.5631,0.6582
HOTEL-011,2023-03-06,34,36.177,0.7381,0.1452,26,0.2561,0.9062,0.7,0.7908
HOTEL-008,2023-03-06,34,39.651,0.6333,0.1438,21,0.3355,0.7485,0.6088,0.6878
HOTEL-006,2023-03-07,2,48.927,0.6964,0.0859,33,0.2854,0.6474,0.6995,0.7786
HOTEL-012,2023-03-07,70,20.856,0.7536,0.15,26,0.0143,0.8558,0.804,0.7179
HOTEL-009,2023-03-07,61,27.952,0.673,0.1204,21,0.0094,0.6037,0.6411,0.6773
HOTEL-010,2023-03-08,44,16.218,0.6983,0.1993,15,0.0189,0.7273,0.7458,0.6654
HOTEL-001,2023-03-08,71,17.71,0.6554,0.2103,25,0.1253,0.6351,0.8024,0.6021
HOTEL-007,2023-03-08,26,21.873,0.7399,0.1501,20,0.0564,0.7705,0.7441,0.6682
HOTEL-008,2023-03-09,19,25.145,0.6935,0.1404,25,0.0222,0.7409,0.7815,0.6681
HOTEL-011,2023-03-09,8,27.2,0.8972,0.1325,15,0.2272,0.8056,0.661,0.7733
HOTEL-002,2023-03-09,20,46.381,0.6919,0.1483,33,0.4186,0.6112,0.6178,0.7118
HOTEL-012,2023-03-10,5,36.757,0.725,0.1416,14,0.4433,0.7964,0.6516,0.7778
HOTEL-009,2023-03-10,52,22.305,0.6988,0.1493,20,0.0441,0.7222,0.7162,0.6284
HOTEL-003,2023-03-10,21,30.733,0.6852,0.1305,11,0.1782,0.7125,0.6888,0.7254
HOTEL-004,2023-03-11,11,29.755,0.8342,0.1191,8,0.2351,0.7419,0.7049,0.8264
HOTEL-001,2023-03-11,17,33.59,0.8073,0.1241,7,0.0547,0.6503,0.6031,0.7631
HOTEL-010,2023-03-11,52,32.755,0.8501,0.1923,9,0.0391,0.7822,0.7618,0.7867
HOTEL-002,2023-03-12,61,25.902,0.7382,0.1593,10,0.1839,0.7726,0.5916,0.7419
HOTEL-011,2023-03-12,24,32.065,0.8034,0.1297,18,0.1541,0.6932,0.6836,0.769
HOTEL-005,2023-03-12,49,41.886,0.8104,0.1937,6,0.2782,0.7458,0.6586,0.8348
HOTEL-012,2023-03-13,68,20.506,0.6721,0.2179,4,0.1231,0.7453,0.6351,0.5949
HOTEL-006,2023-03-13,14,31.875,0.756,0.1516,16,0.5052,0.735,0.6063,0.7231
HOTEL-003,2023-03-13,61,35.998,0.8452,0.1477,24,0.5653,0.7934,0.7518,0.8305
HOTEL-001,2023-03-14,58,23.946,0.635,0.1473,15,0.1989,0.7558,0.7978,0.6581
HOTEL-007,2023-03-14,75,41.442,0.7118,0.1462,1,0.4845,0.8327,0.6578,0.8336
HOTEL-004,2023-03-14,39,40.406,0.7288,0.1674,23,0.0925,0.7456,0.7167,0.7279
HOTEL-002,2023-03-15,65,35.499,0.7337,0.1701,41,0.4553,0.7276,0.8099,0.7432
HOTEL-005,2023-03-15,28,45.399,0.8746,0.1134,11,0.2836,0.7452,0.7058,0.8123
HOTEL-008,2023-03-15,58,35.729,0.787,0.1262,14,0.154,0.6663,0.7682,0.7472
HOTEL-009,2023-03-16,79,22.073,0.6479,0.1541,18,0.3372,0.7547,0.7202,0.6917
HOTEL-006,2023-03-16,54,33.166,0.7844,0.2133,17,0.1278,0.6435,0.7936,0.731
HOTEL-003,2023-03-16,6,36.966,0.7074,0.136,5,0.111,0.7278,0.722,0.7631
HOTEL-004,2023-03-17,17,26.848,0.6089,0.1177,24,0.0696,0.6704,0.7557,0.6399
HOTEL-007,2023-03-17,53,25.35,0.7331,0.2016,17,0.1179,0.6906,0.6913,0.6454
HOTEL-010,2023-03-17,24,36.645,0.6396,0.1348,23,0.3034,0.7854,0.6668,0.6896
HOTEL-005,2023-03-18,79,29.608,0.7755,0.1743,26,0.0638,0.7954,0.6931,0.7136
HOTEL-008,2023-03-18,57,27.866,0.8759,0.193,24,0.0895,0.822,0.643,0.7898
HOTEL-011,2023-03-18,49,39.498,0.7403,0.1926,24,0.4457,0.8421,0.7253,0.8219
HOTEL-006,2023-03-19,9,28.86,0.6622,0.0971,19,0.046,0.7624,0.5568,0.7118
HOTEL-009,2023-03-19,78,35.609,0.8303,0.1615,19,0.1653,0.7699,0.5853,0.78
HOTEL-012,2023-03-19,26,24.901,0.7475,0.1823,15,0.0792,0.702,0.6845,0.7289
HOTEL-007,2023-03-20,66,39.267,0.7233,0.161,14,0.1879,0.6045,0.7307,0.7635
HOTEL-010,2023-03-20,23,39.757,0.708,0.0928,13,0.333,0.862,0.6645,0.7779
HOTEL-001,2023-03-20,59,29.383,0.6023,0.1955,30,0.2468,0.7958,0.6253,0.6123
HOTEL-011,2023-03-21,4,46.482,0.8269,0.1171,15,0.201,0.5587,0.759,0.8347
HOTEL-008,2023-03-21,26,39.915,0.7516,0.1164,27,0.15,0.6676,0.7316,0.7683
HOTEL-002,2023-03-21,47,31.266,0.7104,0.1645,5,0.3963,0.7555,0.6563,0.7461
HOTEL-009,2023-03-22,3,39.187,0.7371,0.188,18,0.5064,0.7377,0.6738,0.7682
HOTEL-003,2023-03-22,14,31.208,0.8063,0.0985,6,0.2697,0.7345,0.581,0.8301
HOTEL-012,2023-03-22,64,28.974,0.734,0.1988,40,0.1282,0.7709,0.6772,0.6432
HOTEL-004,2023-03-23,63,26.544,0.6657,0.1752,28,0.3224,0.7719,0.7252,0.67
HOTEL-001,2023-03-23,54,24.698,0.7513,0.1696,21,0.4275,0.6337,0.7695,0.7047
HOTEL-010,2023-03-23,84,27.993,0.7565,0.1385,25,0.1674,0.8603,0.727,0.7386
HOTEL-005,2023-03-24,78,17.877,0.7561,0.1671,20,0.0764,0.7791,0.7809,0.6753
HOTEL-002,2023-03-24,11,33.377,0.8721,0.1596,29,0.2071,0.7094,0.6809,0.747
HOTEL-011,2023-03-24,87,0.403,0.5119,0.1943,13,0.1829,0.7003,0.7289,0.5139
HOTEL-006,2023-03-25,9,36.522,0.7765,0.1416,21,0.1512,0.8539,0.8111,0.8336
HOTEL-003,2023-03-25,31,44.589,0.8147,0.1374,16,0.4109,0.8155,0.7313,0.8867
HOTEL-012,2023-03-25,36,46.396,0.8122,0.1595,15,0.3325,0.7603,0.8436,0.857
HOTEL-007,2023-03-26,17,36.176,0.723,0.1348,30,0.064,0.8312,0.7678,0.843
HOTEL-004,2023-03-26,62,27.965,0.7661,0.1596,20,0.1955,0.6466,0.6233,0.7085
HOTEL-001,2023-03-26,79,32.693,0.7889,0.1716,20,0.2943,0.8732,0.7114,0.7826
HOTEL-008,2023-03-27,17,36.554,0.6901,0.157,16,0.3791,0.6676,0.5354,0.6673
HOTEL-002,2023-03-27,5,35.814,0.5999,0.1315,28,0.0753,0.765,0.7373,0.6885
HOTEL-005,2023-03-27,35,24.91,0.6626,0.1842,16,0.0431,0.5771,0.621,0.6067
HOTEL-003,2023-03-28,15,37.008,0.7958,0.1267,24,0.0413,0.848,0.8173,0.7835
HOTEL-006,2023-03-28,1,45.536,0.7401,0.1639,13,0.096,0.7388,0.6856,0.7975
HOTEL-009,2023-03-28,7,39.214,0.7487,0.1489,21,0.3557,0.7644,0.708,0.753
HOTEL-004,2023-03-29,27,37.867,0.721,0.1508,16,0.2101,0.6966,0.7478,0.7563
HOTEL-010,2023-03-29,81,28.925,0.7182,0.19,41,0.0362,0.7403,0.6904,0.6088
